hhid,pid,w1_hhgeo,w1_hhsizer,w1_hhincome,w1_a_best_age_yrs,w1_a_b2,w1_a_n1_1,w1_a_n2_1,w1_quest_typ,w1_best_race
104227,312488,2,8,3078.7195,24,1,171,62.4,1,1
104227,312489,2,8,3078.7195,19,1,172.4,79,1,1
104227,312490,2,8,3078.7195,27,2,167,69.40000000000001,1,1
104246,312491,2,2,940.41675,60,2,162.1,69.7,1,1
104246,312492,2,2,940.41675,57,1,170.2,64.09999999999999,1,1
104227,312501,2,8,3078.7195,53,2,161,87.5,1,1
104235,312502,2,7,844.87292,23,2,-8,-8,1,1
104237,312503,2,8,4066.3835,68,2,162.9,75.8,1,1
104237,312504,2,8,4066.3835,67,1,164.1,67.3,1,1
104230,312505,2,4,1772.4166,69,2,145.9,80.5,1,1
104231,312506,2,5,15550,28,2,149.5,55.7,1,1
104231,312507,2,5,15550,39,2,157.3,92.90000000000001,1,1
104231,312508,2,5,15550,31,1,177.5,70.59999999999999,1,1
104233,312509,2,12,2446.0313,33,2,153.7,92.90000000000001,1,1
104233,312510,2,12,2446.0313,32,,,,1,1
104235,312511,2,7,844.87292,15,1,167,50.7,1,1
104235,312512,2,7,844.87292,46,2,160,78.8,1,1
104235,312513,2,7,844.87292,20,2,163.7,52.2,1,1
104233,312514,2,12,2446.0313,15,2,-8,-8,1,1
104243,312515,2,6,1478.3334,17,2,164.7,62.6,1,1
104243,312516,2,6,1478.3334,59,2,153.7,93.40000000000001,1,1
104240,312517,2,3,892.45544,20,1,-3,-3,1,1
104237,312518,2,8,4066.3835,45,2,160,66,1,1
104236,312519,2,6,2468.1477,43,2,167.1,81.2,1,1
106996,312520,2,6,354.53168,19,1,157.9,38.5,1,1
104236,312521,2,6,2468.1477,15,2,162,54.4,1,1
104239,312522,2,12,6848.3335,62,1,178.1,89,1,1
104239,312523,2,12,6848.3335,51,2,160.3,79.3,1,1
104239,312524,2,12,6848.3335,28,2,163.1,75.90000000000001,1,1
104240,312525,2,3,892.45544,-9,2,145.3,40.5,1,1
104045,312526,2,3,1729.0645,32,2,157.8,79.59999999999999,1,1
104155,312527,2,8,3185.6594,43,1,175.3,70.09999999999999,1,1
104155,312528,2,8,3185.6594,21,2,161.5,77.2,1,1
104048,312529,2,4,3039.7207,29,2,158.4,55.2,1,1
104048,312530,2,4,3039.7207,17,1,173.1,54.7,1,1
104066,312532,2,8,1358.1221,24,,,,1,1
